package_name,sha256,apk_name,apk_path,app_output_dir,year,size,contain_ad,is_downloaded,is_tested,issue,sensor_test_done,timestamp,device_serial
,ecaf7d4d2dc4c472b8220a083c964697f22df76233d0fc6f0fdc37e2993df498,ECAF7D4D2DC4C472B8220A083C964697F22DF76233D0FC6F0FDC37E2993DF498.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\ECAF7D4D2DC4C472B8220A083C964697F22DF76233D0FC6F0FDC37E2993DF498.apk,ECAF7D4D2DC4C472B8220A083C964697F22DF76233D0FC6F0FDC37E2993DF498.apk,,10494440,,TRUE,TRUE,,,2025-10-10 05:19:11,emulator-5554
,ff73849ecf1a3075d093df94710f4d491bf91fbb46854303ccd968b85d87bc9e,FF73849ECF1A3075D093DF94710F4D491BF91FBB46854303CCD968B85D87BC9E.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FF73849ECF1A3075D093DF94710F4D491BF91FBB46854303CCD968B85D87BC9E.apk,FF73849ECF1A3075D093DF94710F4D491BF91FBB46854303CCD968B85D87BC9E.apk,,5117813,,TRUE,TRUE,,,2025-10-09 23:24:45,emulator-5554
,feff1f1b4cd2f16eb19a6aba078c9d21fa94f1670ed3f6bc9ec196ff91a62e0d,FEFF1F1B4CD2F16EB19A6ABA078C9D21FA94F1670ED3F6BC9EC196FF91A62E0D.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FEFF1F1B4CD2F16EB19A6ABA078C9D21FA94F1670ED3F6BC9EC196FF91A62E0D.apk,FEFF1F1B4CD2F16EB19A6ABA078C9D21FA94F1670ED3F6BC9EC196FF91A62E0D.apk,,35924896,,TRUE,TRUE,,,2025-10-09 23:37:22,emulator-5554
,fdd27407507b9683c9d59e319fabdb61ab678b6b4cb797f400efab674c525d3e,FDD27407507B9683C9D59E319FABDB61AB678B6B4CB797F400EFAB674C525D3E.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FDD27407507B9683C9D59E319FABDB61AB678B6B4CB797F400EFAB674C525D3E.apk,FDD27407507B9683C9D59E319FABDB61AB678B6B4CB797F400EFAB674C525D3E.apk,,49001911,,TRUE,TRUE,,,2025-10-14 00:00:42,emulator-5554
,fdb6f5be9a3a58c20260fb6e05b87943e84208574613e7779cb29a055dfccb7d,FDB6F5BE9A3A58C20260FB6E05B87943E84208574613E7779CB29A055DFCCB7D.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FDB6F5BE9A3A58C20260FB6E05B87943E84208574613E7779CB29A055DFCCB7D.apk,FDB6F5BE9A3A58C20260FB6E05B87943E84208574613E7779CB29A055DFCCB7D.apk,,47953937,,TRUE,TRUE,,,2025-10-10 00:02:42,emulator-5554
,fd8b1bfaa1bc99c745490b12868b1e14688aa8358caf324479784b85b100a083,FD8B1BFAA1BC99C745490B12868B1E14688AA8358CAF324479784B85B100A083.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FD8B1BFAA1BC99C745490B12868B1E14688AA8358CAF324479784B85B100A083.apk,FD8B1BFAA1BC99C745490B12868B1E14688AA8358CAF324479784B85B100A083.apk,,30444880,,TRUE,TRUE,,,2025-10-10 00:15:21,emulator-5554
,fd4eb2429f8ccdec729d81b05cc19b042be853b1767653eef9ac95cfdaa5d306,FD4EB2429F8CCDEC729D81B05CC19B042BE853B1767653EEF9AC95CFDAA5D306.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FD4EB2429F8CCDEC729D81B05CC19B042BE853B1767653EEF9AC95CFDAA5D306.apk,FD4EB2429F8CCDEC729D81B05CC19B042BE853B1767653EEF9AC95CFDAA5D306.apk,,40187610,,TRUE,TRUE,,,2025-10-10 00:28:10,emulator-5554
,fcf6e305c86b2fd3f88dd2518f24d2618f4a9463e145900ce2b21ea44d14eb18,FCF6E305C86B2FD3F88DD2518F24D2618F4A9463E145900CE2B21EA44D14EB18.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FCF6E305C86B2FD3F88DD2518F24D2618F4A9463E145900CE2B21EA44D14EB18.apk,FCF6E305C86B2FD3F88DD2518F24D2618F4A9463E145900CE2B21EA44D14EB18.apk,,31659688,,TRUE,TRUE,,,2025-10-10 00:40:49,emulator-5554
,fcdbe3d74cfb356a740eb6f27b6ea9d808b042d943c1dd8147ccbc9d118c73f3,FCDBE3D74CFB356A740EB6F27B6EA9D808B042D943C1DD8147CCBC9D118C73F3.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FCDBE3D74CFB356A740EB6F27B6EA9D808B042D943C1DD8147CCBC9D118C73F3.apk,FCDBE3D74CFB356A740EB6F27B6EA9D808B042D943C1DD8147CCBC9D118C73F3.apk,,68001620,,TRUE,TRUE,,,2025-10-10 00:53:21,emulator-5554
,fc61269f70b8772e2815623cef01faa89271c2ea7b98b153a27573e45ea46677,FC61269F70B8772E2815623CEF01FAA89271C2EA7B98B153A27573E45EA46677.apk,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\FC61269F70B8772E2815623CEF01FAA89271C2EA7B98B153A27573E45EA46677.apk,FC61269F70B8772E2815623CEF01FAA89271C2EA7B98B153A27573E45EA46677.apk,,6759048,,TRUE,TRUE,,,2025-10-10 01:00:21,emulator-5554
