app_name,issue,has_ad,type2_detected,type2_features,type3_detected,type3_features,type4_detected,type4_features,type5_detected,type5_features,type6_detected,type6_features,screenshots,ui_files,analysis_date,detection_results
F:\test\output\4C54EBB635F93FF9520FAE06E0629D693693ED3722A33C602E80D1B775CFCEC4.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
F:\test\output\4BF5A062A1D1967434B59C38956C3AF7FE6C70897849E2896FD56DA7027D6009.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
F:\test\output\4B80E29E51BCC16EBE88BB5214D13A30EEC592C41C81ABA92911A83B051292E8.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
F:\test\output\4D59F97A9D156D71F95C16968F30191D596A13E6E6518B9AA0A58476EF79F2AE.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
F:\test\output\4D816C65641F8BEFA227508BD97A92A2FC06F9A13738FA904D55412D61B8DBBF.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
F:\test\output\4DDD822FBFC9002520ADE7E7EF28C7EAFDDD886A5F9CC61E122B36C18C2988E4.apk,,False,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,
F:\test\output\4DD8208301CC3DF685DE9729EB02ECE17F06E77BBDACF9676682509969189203.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
F:\test\output\4D8C5FFF04A9DAA230FE54F2F9DEB6149480350E942935102C30EC0857827930.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
F:\test\output\4E118A5C39E586C3000FEBD00214B1AED20D472905117A915D82CECF05427F9E.apk,,False,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,
F:\test\output\4E2C9342CAB6EC7E4965C4524FA597BD637A91467F3C5C9F1CB5E51182B1F684.apk,,True,False,,False,,False,,False,,False,,[],[],2025-10-20 22:02:10,"{'type2': {'detected': False, 'features': '', 'details': []}, 'type3': {'detected': False, 'features': '', 'details': []}, 'type4': {'detected': False, 'features': '', 'details': []}, 'type5': {'detected': False, 'features': '', 'details': []}, 'type6': {'detected': False, 'features': '', 'details': []}}"
