app_name,has_ad,type2_detected,type2_features,type3_detected,type3_features,type4_detected,type4_features,type5_detected,type5_features,type6_detected,type6_features,analysis_date
00857FEF8183E16EEFDFBFF629E0FC9D0879F3EBF823AA3B3C00545992E8C9B1.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
01D97E41F44591BAEB09AEEECDAFC02908280D0663ADD87669CFD62B3C6850FE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
02E36467F2913A233ADC94E7458F2E8C3BFE432078BF0C843AA0A14F68840047.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
032EAD1FBAA7529CB911312830B25AD86E6D097E8D33B7B14BA45FFBBB4A27DB.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
035B70DBA3A8B7B053FA00A0AE13331DC097B2880834F41AED6815ACFF875C2F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
045541B0497754A57F3C104692F11F7F680B1300E6AE0BC116920B5CAD087419.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
04657CA0574ACE0B2C40D54369E2B519DFA63F5BAA398D1B5579AC705C4F67F5.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
04E1D936FF1000EB7F0087BEED7C44892E71CAE4CB7EACC0FE6EFE6EBAAA4B09.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
054C007DBEB8DC19A052AEDDEE6D9607784721657762CACE91C40D94F9279C14.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
065E0E6F150240B23872FF9207CED51EDA27846DDDB3DA8C7B1278D1E777CBBD.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0664AE13F3D02B4096EBF81317CBB12BAC511DA105E9E850964E1B9A02F84003.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
067CAB94B2B833A5A7B4398B12A111C1E0A730A809CC1282C6527FA54886124D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
072B33E5D11787E37333DE6F685A7CA7F7418444C19B40982C7493648A5A1DDE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
07B2EBA87B47DBEE3E8D0A1B60930546A16AF069188FCD3557E310C25E6CFC79.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
08A32DB1E8052B96E880B1E147FEA9129147F944A0323DBE05FB296DC55965F1.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
081A30CC75C2AE03C9F03B53DFB1357B9A0521FD41B7907514F944D57F6AAA7F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
09247ADFA751B40D447EE6923142D69643995F79DB105EAF15EAF95BD6FEA78C.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0A5BC0E05C6BACE17A83CCC790E1D96E8A6548BCB59C629C08A9B4C772061E78.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0AD04DE95C49BBAD4A924977CCA629CA9CB1B866FB93B7A9BC9176AE2CC63D46.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0B607C9BA7AB92631F633CC9455D43863E373A4880DBACC242A328A6C044D69C.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0B9DAB33CCC8A4AE1C6F04BFD6821E0A39A6E5F3F52772C19F742D9C6D82F6BB.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0B6E3A75D382D1E5DB0E207FF526B45851D5AFF43CEEAD3F2E0D8EE6181B0C6E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
098B35ACA320949D5E58980876154B52B1F2AE27091887E2E49AF51FDD56CA8E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0D902A3B62477934765C87F2383ECBCE780A8D3B0A91408FB0C2277C416BBD46.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0EA25A99C33FB16D31B3AA8622776377132A8ADD78068E8D0807425C21DA4C18.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0C0629CC4A055F5DDF7EB78613A0FCE6ACE89E34B4DEEE6632CFD9882B6BA987.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0EF77D7A3965EBC5665717219E523BD06F7A199F88182BE08E5EEC80BC7C6913.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
0F809D1219C29D6CA2F3A14A19D02D4912894CF1143FD22AA420E2F8F45B4DBD.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
1142B39C4B41F3686D8BC0918AF4139609039BD9D663E8DC1C633B3005D73568.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:30
122CCADB39ACE43DF24A8FBCB05084758F217BAD4BFB7FFFFE84CDD945CF7C44.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
133DFFFE072F1D4586A5ACA7F246CBC47C087150033D4C4E4DB39EED338AE21E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
161761845B964BF291BF6627A531660842566E214DDA0D571C3049090CEE7DAA.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
16779893463F69022BC65C515A63C2B819A94505BA16C0A8C47AD796F3488BF1.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
16920D9CB5FDF8836135F597947AC526B8557F2DF5254D76A92062C793163E2A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
16BE7928AFEA083AABD23A27A82D0865193DC439964FA9D43DEBD2AAE31172C6.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
174882695BA1C134CBBB99AD0C7B8EB8E7475F15309537EEE16957D3126CECF1.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
18DE4D2DCB77C25E6CCFEC76E351BDB65013119315A9986DA2016C03C481F692.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
194AFB5AEEB140AB19CC9930C510EAAD253274D8F32163AA6496AEEB82F30D97.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
19BA8AD528A5A74FDF83116031BC1C64FC9562A6680765AB03060AB649CDF348.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1169A55E9EEF6F68395FABDD123AE36E6113F732E3E73170AF0A7FCF6D3EB07C.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
15DD8AF4F2D63BFFC4009E243B14766FEA385E48E75B069410C9457D54DB6618.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1B887213AD4CC25D922B4BD412BBF1D54D8718F00E1BECA2C9D26F798851FA50.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1C68F9DA0100BDD0D6912873768DC3EC597241AF573AF1DD57B4DDDE85A48E17.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1C514484BDE6336856D38E52A6030DC0C90BE5569D1941F2AE1EF62045B0A938.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1D15427A8FA52E5101C2A576D7FC73A6D55E33F7969AA7C9E20906E1F8E5DB15.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
